,2000s,2010s,1990s,1970s,1980s
blacktop,60,52,6,0,0
blade,1064,395,27,14,4
blades,423,126,9,1,2
blah,443,262,2,0,0
blaine,28,228,0,0,0
blam,96,38,0,4,0
blame,6214,3077,199,42,47
blamed,193,101,8,0,1
blaming,218,79,0,1,1
bland,84,36,4,0,3
blank,609,279,14,1,6
blanket,509,193,12,2,6
blankets,194,59,8,2,3
blaow,107,41,5,0,0
blasphemy,282,60,2,0,7
blast,1957,565,63,11,4
blasted,196,39,6,0,2
blastin,307,47,15,1,2
blasting,219,112,12,1,1
blaze,1126,354,38,3,7
blazed,140,61,13,0,0
blazin,342,76,6,2,2
blazing,471,247,23,5,2
bleach,141,45,4,0,1
bleak,237,70,5,0,5
bled,535,141,18,2,0
bleed,3558,1315,82,9,16
bleedin,264,69,3,1,0
bleeding,2374,798,55,17,7
bleeds,421,187,5,0,3
bleek,127,15,3,0,0
blend,277,119,5,0,0
bless,1929,844,106,18,11
blessed,1921,865,122,12,7
blessin,118,62,6,0,0
blessing,610,333,24,9,3
blessings,557,342,21,0,8
blew,1395,553,66,20,11
blind,7638,2703,283,84,90
blinded,1109,478,46,5,9
blindfold,98,68,0,0,0
blinding,521,244,24,1,6
blindly,257,81,9,3,6
blindness,195,86,4,3,1
blinds,358,167,8,3,5
bling,603,298,0,3,0
blink,734,396,21,0,3
blinking,162,87,6,1,0
bliss,834,426,48,6,6
blissful,76,34,3,0,1
blister,83,34,3,0,2
blistered,102,14,1,0,0
blisters,129,25,2,0,1
blitz,130,29,7,13,0
blizzard,124,80,3,0,1
blo,18,194,0,0,0
block,4757,1879,119,16,11
blocka,71,42,0,0,0
blocked,130,72,5,0,2
blocking,107,88,2,0,2
blocks,770,262,17,2,5
blond,264,58,4,6,0
blonde,360,228,14,2,4
blood,15159,5660,453,81,127
bloodbath,106,23,0,0,0
blooded,230,136,28,1,1
bloodline,112,48,1,0,0
bloods,236,108,3,0,0
bloodshed,213,53,3,0,8
bloodshot,211,72,12,0,1
bloodstained,98,22,1,0,2
bloody,1902,520,43,4,21
bloom,701,266,38,7,2
blooming,164,47,11,1,0
blooms,171,46,5,3,3
blossom,287,125,9,9,0
blossoms,135,58,2,0,0
blouse,117,45,4,4,0
blow,8064,4176,310,75,87
blowed,138,64,4,0,0
blowin,1335,602,59,11,8
blowing,1519,1232,94,26,11
blown,1357,561,37,12,15
blows,1863,675,79,24,25
blue,16017,6583,950,154,256
blueberry,86,23,6,4,0
bluebird,205,131,13,6,1
bluebirds,128,80,7,2,0
blueprint,76,53,0,0,2
bluer,88,48,4,5,2
blues,4836,1918,553,154,106
bluest,85,38,11,0,0
bluff,286,116,15,1,2
bluffin,80,30,1,0,1
blunt,919,579,28,0,0
blunted,132,39,1,0,0
blunts,423,248,8,0,1
blur,321,186,5,1,0
blurred,210,90,7,0,2
blurry,135,130,2,0,1
blush,213,91,2,4,2
bm,264,51,0,0,0
bmi,242,11,6,1,1
bo,720,192,15,23,40
board,711,405,35,7,10
boards,164,95,7,1,0
boardwalk,118,76,9,1,7
boast,179,69,6,2,2
boat,1486,861,62,32,30
boats,387,181,31,3,2
bob,889,341,24,2,5
bobby,713,312,32,3,10
bodied,127,76,1,0,0
bodies,2174,890,44,13,23
body,14030,8078,672,49,150
bodys,844,514,19,8,5
bog,122,16,0,2,0
bogus,88,30,0,0,0
boi,177,109,0,0,0
boil,232,64,6,1,1
boiling,249,76,5,1,4
boils,134,21,3,0,3
bold,739,356,31,8,7
bolder,135,75,6,2,4
boldly,83,42,5,0,0
bolt,174,110,13,4,4
bolts,94,26,1,0,0
bom,338,372,30,5,0
bomb,2337,942,139,35,71
bombay,121,29,6,0,1
bombed,95,12,2,6,1
bomber,80,42,3,2,0
bombin,108,6,0,0,0
bombs,816,353,33,1,11
bomp,133,40,0,0,0
bon,198,228,10,0,0
bond,714,217,34,3,2
bondage,139,38,8,1,3
bonds,205,80,5,1,3
bone,4545,1498,99,18,30
bones,3276,1784,91,18,34
bonfire,83,76,0,0,3
bong,260,157,2,0,0
bonnie,323,215,7,1,0
boo,1737,744,59,6,4
boogaloo,99,6,6,1,1
boogie,1806,445,141,61,37
book,3061,1094,123,44,41
booked,78,49,8,0,1
books,1177,413,51,24,13
boom,3565,2736,98,35,27
boomerang,102,142,1,1,0
boomin,92,67,24,0,1
boosie,12,119,0,0,0
boost,132,76,1,1,0
boot,441,125,36,3,5
booth,420,322,9,2,3
boots,1690,602,67,21,20
booty,1180,1005,53,0,2
booze,354,144,7,0,6
bop,1938,545,65,56,100
boppin,87,27,5,0,0
border,660,245,63,3,2
borderline,206,78,16,1,7
borders,256,67,6,0,0
bore,648,215,35,6,5
bored,1093,493,34,5,8
boredom,245,63,10,5,3
boring,646,286,5,12,9
born,9575,4096,495,91,94
borne,107,19,2,3,1
borough,84,27,3,0,1
borrow,629,246,36,8,5
borrowed,417,159,7,3,4
bosom,129,44,3,1,0
boss,1708,1329,91,17,12
bosses,139,64,0,0,0
boston,315,98,8,0,12
bot,48,70,3,0,0
bother,1467,614,35,15,21
bothered,362,176,10,2,5
bothering,104,27,9,0,1
bothers,126,57,1,0,2
bottle,2712,1730,84,32,29
bottled,121,95,5,3,0
bottles,885,1375,22,2,9
bottom,2471,1503,106,20,7
bottomless,115,32,1,0,3
bottoms,84,180,3,0,0
bough,142,53,13,0,0
bought,2913,1741,114,28,17
boulder,89,78,3,1,1
boulevard,432,190,36,1,5
bounce,2391,1444,38,2,4
bounced,80,42,3,0,0
bouncin,264,101,6,0,0
bouncing,295,132,8,0,3
bound,3206,1264,213,32,43
boundaries,252,89,3,0,0
boundary,164,32,1,0,0
boundless,101,23,0,0,0
bounds,198,64,3,8,2
bounty,160,60,2,1,2
bouquet,165,70,2,5,5
bourbon,163,104,26,1,3
bout,12335,8456,422,85,73
bow,2589,1321,73,31,11
bowed,235,63,12,0,3
bowels,141,22,5,0,0
bowl,546,276,18,8,1
bowling,151,47,4,0,0
bows,233,94,10,5,0
box,2574,1132,103,16,10
boxed,82,40,0,0,1
boxes,250,125,7,0,3
boxing,96,51,11,0,3
boy,22505,12825,816,190,241
boyfriend,891,629,29,5,8
boyfriends,147,67,6,1,1
boys,8989,3976,392,110,117
boyz,487,128,14,0,0
bra,208,144,7,3,4
brace,249,140,2,0,0
bracelet,113,46,1,0,1
bracelets,79,40,5,0,0
brad,84,93,0,0,0
brag,314,159,14,5,2
braggin,163,50,3,1,0
bragging,79,47,5,2,0
braids,180,66,7,0,0
brain,5240,2075,135,90,47
brains,1333,402,44,10,15
brainwashed,202,38,2,3,0
brake,325,161,1,0,0
brakes,299,145,11,2,1
branch,210,90,8,0,5
branches,292,120,9,2,1
brand,3543,1554,133,45,29
branded,207,35,5,1,1
brandy,215,62,7,1,2
bras,104,55,2,0,0
brass,238,122,21,10,6
brat,254,44,10,0,2
brave,1635,879,46,16,11
bravery,77,40,1,0,0
brawl,243,57,5,0,1
brazil,106,79,4,3,1
breach,95,33,1,0,0
bread,1704,1029,114,34,14
break,19459,10465,734,186,176
breakaway,93,69,2,0,0
breakdown,676,195,5,0,4
breaker,273,157,16,1,2
breakers,84,28,6,3,0
breakfast,629,313,19,11,5
breakin,1340,329,41,25,23
breaking,4029,2676,96,33,55
breakout,96,40,0,0,0
breaks,2276,1128,67,29,16
breakthrough,97,55,1,0,0
breast,523,161,29,6,6
breasts,203,59,7,3,3
breath,7696,3672,258,26,42
breathe,6298,3590,191,11,17
breathed,134,41,12,0,2
breathes,261,59,9,0,3
breathin,494,124,10,1,0
breathing,2270,1185,28,4,6
breathless,267,157,37,0,2
breaths,141,59,4,0,1
bred,236,70,9,1,3
breed,818,216,14,5,6
breeding,206,55,4,0,1
breeds,184,43,4,0,1
breeze,2188,933,94,19,28
breezes,163,50,6,6,2
breezy,122,143,3,1,1
brew,396,112,12,1,2
brian,284,60,2,0,1
brick,911,658,33,13,9
bricks,827,625,13,2,3
bride,777,214,52,6,7
brides,94,39,8,0,0
bridge,2803,1959,87,39,23
bridges,758,445,24,3,7
brief,247,97,9,2,0
brigade,135,18,2,0,0
bright,6074,2977,296,72,71
brighten,239,99,12,7,0
brighter,1076,663,55,18,14
brightest,271,200,7,2,2
brightly,345,111,11,3,1
brightness,129,46,9,0,1
brilliant,347,120,7,1,0
brim,104,72,5,3,4
bring,17006,8674,622,116,173
bringer,144,26,1,0,1
bringin,808,168,17,7,5
bringing,1406,841,48,23,18
brings,2983,1052,102,64,31
brink,257,79,8,1,1
britain,93,14,2,1,4
british,196,61,6,0,1
britney,179,66,1,0,0
brittle,115,43,0,0,1
bro,406,484,15,10,1
broad,659,305,23,3,1
broadcast,100,39,1,1,0
broads,395,268,3,1,0
broadway,383,126,37,26,8
broccoli,72,50,4,0,0
broke,5646,3378,232,34,54
broken,11429,6046,373,59,128
brokenhearted,101,65,6,0,3
bronx,404,105,11,1,3
brook,109,58,6,1,4
brooklyn,839,393,55,1,27
broom,227,108,13,6,1
bros,77,139,7,0,3
brotha,334,52,9,0,1
brothas,142,10,9,2,0
brother,5756,2088,364,119,58
brotherhood,147,50,14,1,0
brothers,2997,1001,216,39,25
brought,3782,1723,177,45,40
brow,304,115,14,9,0
brown,3049,1069,213,45,30
bruce,259,140,9,8,1
bruh,48,219,0,0,0
bruise,355,111,4,0,6
bruised,442,261,16,0,2
bruises,228,130,8,1,0
brush,611,275,11,0,7
brushed,153,43,5,0,1
brutal,292,95,4,0,4
brutality,147,25,5,0,1
bs,149,131,3,0,0
bu,132,156,5,0,0
bub,122,47,3,0,0
bubba,331,24,2,3,0
bubble,791,383,27,10,2
bubblegum,55,69,5,0,0
bubbles,250,94,7,2,2
bubblin,124,25,12,0,1
bubbling,114,53,1,1,3
bubbly,124,65,1,0,0
buck,2173,430,63,2,6
bucked,100,27,1,0,0
bucket,457,200,17,2,1
buckets,80,54,6,4,0
buckin,196,22,6,1,0
buckle,289,119,6,0,0
bucks,617,271,19,5,3
bud,430,149,34,2,0
buddha,220,57,17,0,2
buddies,176,90,6,6,0
buddy,1085,304,75,10,6
budge,99,33,6,0,0
budget,117,107,3,0,0
buds,98,39,2,0,0
buffalo,256,83,2,2,14
bug,511,185,42,4,3
bugatti,20,167,0,0,0
bugged,131,24,2,1,1
buggin,362,93,7,0,5
bugging,137,39,20,0,2
bugle,64,49,10,3,12
bugs,294,70,7,1,2
buh,105,69,0,1,0
build,3163,1638,149,25,22
buildin,195,97,4,1,1
building,1732,937,82,8,15
buildings,520,182,8,4,13
builds,180,183,6,1,0
built,2660,1426,92,11,31
buju,81,11,22,0,0
bulb,83,31,5,0,0
bull,563,232,48,7,4
bulldog,83,29,2,1,1
bullet,1689,785,40,13,17
bulletproof,288,218,3,0,1
bullets,1440,533,29,9,9
bulls,172,100,0,0,1
bullshit,1493,877,41,3,1
bully,210,75,24,1,1
bum,839,415,46,1,12
bump,1302,548,32,4,4
bumped,140,58,4,0,0
bumper,256,88,5,0,3
bumpin,676,198,14,0,1
bumping,197,291,4,2,3
bumps,141,74,5,1,0
bumpy,244,81,5,0,0
bums,203,40,4,2,0
bun,602,279,7,4,1
bunch,957,565,38,3,5
bundle,147,80,9,10,1
bung,66,134,0,0,0
bunk,163,29,3,0,2
bunny,216,134,6,2,1
buns,92,37,3,0,0
burden,767,386,47,5,6
burdens,265,144,10,2,3
burger,168,74,8,0,0
burgers,83,26,0,1,2
burgundy,80,43,4,0,2
burial,186,42,8,0,0
buried,1750,848,49,14,14
burn,10094,5484,382,106,107
burned,2310,986,77,18,24
burner,134,137,8,0,0
burners,89,30,0,0,0
burnin,1419,493,91,4,51
burning,8263,3288,286,67,111
burns,2549,982,76,14,28
burnt,891,379,18,0,7
burst,698,293,30,15,11
bursting,225,80,12,1,1
bursts,77,51,5,3,1
bury,1485,1045,55,7,24
burying,81,41,1,0,0
bus,2004,680,55,12,14
bush,532,163,16,4,1
bushes,163,72,7,1,0
business,2949,1529,126,15,23
buss,163,109,1,0,0
bust,3792,1397,97,4,16
busta,647,96,30,0,0
bustas,201,31,14,0,0
busted,589,167,54,0,4
buster,112,39,7,0,1
busters,135,38,10,0,0
bustin,856,274,31,0,5
busting,231,148,12,2,1
busy,2033,956,88,9,41
butcher,164,61,6,2,3
butchers,98,27,1,0,0
butt,948,303,30,5,10
butter,621,326,37,3,8
butterflies,383,284,22,8,2
butterfly,697,334,27,9,21
button,584,245,15,3,9
buttons,279,139,7,7,3
butts,152,37,7,0,2
buy,5201,2409,249,36,76
buyin,320,121,9,2,3
buying,517,296,15,3,3
buys,202,60,6,7,3
buzz,575,416,54,0,14
buzzed,105,41,5,4,0
buzzin,144,136,10,3,0
buzzing,180,125,3,0,1
bwoy,403,139,6,0,0
bye,5060,1975,242,98,42
ca,391,134,10,0,0
caan,163,16,1,0,0
cab,394,232,16,9,4
cabaret,81,56,5,0,1
cabbage,192,49,12,2,3
cabin,260,99,25,3,2
cable,238,87,11,4,6
cactus,79,35,3,1,9
caddy,326,89,10,0,0
cadillac,935,336,75,5,14
cadillacs,163,47,6,1,6
caesar,97,97,2,0,0
cafe,405,100,21,2,2
caffeine,88,71,0,0,0
cage,1125,576,34,16,9
caged,173,120,5,0,1
cages,141,51,6,5,2
cain,266,78,16,4,0
caine,209,55,0,2,1
cajun,108,25,1,2,5
cake,1240,950,31,5,5
cakes,186,56,6,2,4
cal,121,54,3,0,0
calculate,84,41,1,0,0
calendar,127,43,5,0,0
cali,401,293,7,0,0
calico,94,17,4,2,1
california,1631,962,70,15,25
call,27518,15605,1211,245,250
called,6373,2510,288,51,59
caller,106,91,0,0,0
callin,2085,813,81,13,20
calling,6681,3821,298,50,68
callous,89,45,2,0,1
calloused,94,34,1,0,0
calls,2459,977,82,13,20
calm,1929,1023,73,6,24
calmly,85,21,4,1,1
calvary,83,96,7,0,0
cam,367,117,4,0,0
came,17343,8730,772,141,147
camel,138,90,3,2,1
camera,654,534,18,10,6
cameras,363,309,11,0,2
camouflage,152,114,6,0,3
camp,462,123,16,2,1
campaign,128,77,1,0,1
canada,161,90,6,0,1
canadian,105,25,0,0,0
canal,114,41,1,0,0
canary,88,41,6,0,1
cancel,135,58,3,4,2
cancer,571,252,11,1,1
candle,1254,522,51,13,8
candlelight,308,101,18,3,2
candles,819,324,19,5,4
candy,2058,1088,75,10,14
candyman,133,60,1,0,0
cane,385,172,17,1,0
canibus,243,15,0,0,0
cannibal,154,80,0,1,0
cannon,289,174,3,9,1
cannonball,132,53,11,1,1
cannons,106,55,3,3,0
cannot,6204,2690,220,33,47
cans,256,100,12,0,5
cant,101495,50027,3912,964,978
canvas,266,136,6,3,3
canyon,185,78,7,1,2
canyons,104,26,5,5,1
cap,760,297,39,1,8
capable,125,104,1,1,0
cape,241,128,10,5,0
capital,204,155,6,1,2
capone,133,39,3,0,1
capped,70,35,7,0,2
capri,96,13,3,0,0
caps,316,101,15,2,2
captain,873,409,73,20,11
captains,108,43,3,1,1
captivated,64,52,5,0,0
captive,197,65,8,1,2
capture,404,180,12,1,1
captured,473,132,21,3,13
car,8165,3669,260,65,75
caramel,84,53,20,0,0
caravan,153,82,17,1,1
carbon,160,60,9,1,4
carcass,172,34,5,0,1
card,1179,502,61,9,19
cardboard,173,64,11,0,2
cardiac,75,46,2,0,1
cards,1357,659,44,11,22
care,18335,8718,800,241,239
cared,1040,450,47,9,11
career,541,186,7,13,0
careers,73,38,2,0,0
carefree,138,54,3,15,5
careful,1209,577,38,9,3
carefully,320,133,15,10,2
careless,487,225,25,4,14
carelessly,86,30,3,0,0
cares,2406,914,123,26,43
caress,700,186,38,13,8
caressed,104,33,8,0,4
caresses,95,22,8,1,0
caressing,116,55,9,1,1
caribbean,114,45,4,0,1
caring,312,105,7,7,4
carl,224,36,2,0,0
carnage,184,39,0,0,1
carnal,151,22,13,0,0
carnival,271,141,25,5,3
carol,143,49,4,0,1
carolina,329,108,16,0,8
caroline,230,140,10,4,0
caroling,82,27,8,0,0
carols,158,61,13,1,0
carousel,219,85,4,0,5
carpet,454,240,12,9,3
carriage,128,46,8,0,1
carried,1085,427,39,8,8
carries,475,245,18,5,5
carrots,81,29,3,0,0
carry,5807,2812,267,70,39
carryin,123,24,3,5,0
carrying,496,220,31,7,11
cars,3015,1375,104,18,30
cart,151,74,2,1,1
carter,138,74,6,1,0
cartier,53,60,2,0,0
cartoon,160,40,6,1,0
cartoons,90,21,1,0,5
carve,297,153,7,0,0
carved,449,125,17,1,0
carving,174,61,7,1,0
casa,69,75,2,0,0
casanova,117,29,9,0,4
case,2895,1407,104,26,31
cases,275,118,6,0,1
casey,68,50,0,0,0
cash,3762,2126,102,16,18
cashed,69,60,1,1,0
casino,105,86,4,0,0
casket,595,198,15,2,1
caskets,121,39,16,0,2
cass,91,42,0,0,2
cassette,80,46,2,0,1
cassidy,187,73,0,0,0
cast,2066,901,67,22,27
casting,227,85,7,5,0
castle,748,299,40,6,3
castles,300,248,10,4,2
casts,121,38,1,0,0
casual,148,36,5,1,1
casually,97,41,2,2,0
casualties,173,35,5,0,0
casualty,115,53,3,0,1
cat,2550,827,175,26,25
catastrophe,181,43,3,0,0
catch,7725,3834,281,64,67
catches,210,84,5,2,2
catchin,397,125,16,0,0
catching,497,365,22,3,5
cater,120,38,1,0,0
catfish,114,42,2,0,2
cathedral,126,44,5,1,3
catholic,132,30,5,3,0
cats,2243,547,120,5,6
cattle,326,83,14,5,2
caught,7440,3352,268,49,84
cause,90726,45253,3440,653,678
caused,755,277,16,7,8
causes,310,70,7,0,3
causin,146,45,9,0,0
causing,430,155,17,1,1
caution,280,129,16,0,5
cautious,139,54,6,0,1
cavalry,77,41,0,1,1
cave,433,206,12,12,1
caves,167,51,6,2,0
caviar,104,36,8,1,4
caving,104,100,6,0,0
cavity,116,56,1,1,0
cd,437,130,5,0,0
cds,190,63,3,0,0
ce,360,77,50,2,0
cease,697,180,36,6,3
ceased,118,30,5,1,3
cee,125,32,4,0,0
ceilin,112,46,2,0,0
ceiling,955,663,31,4,7
ceilings,57,72,0,0,1
celebrate,1172,795,35,1,6
celebrating,135,100,2,1,0
celebration,429,275,18,2,3
celebrity,204,122,5,1,0
celestial,167,44,7,0,0
cell,1366,493,44,1,11
cellar,130,42,9,2,2
cellophane,131,42,6,1,0
cells,328,97,5,2,1
cellular,127,60,7,0,1
celly,102,36,3,0,0
cement,185,79,2,2,4
cemetery,222,119,2,0,1
cent,510,149,18,2,4
center,831,336,34,7,12
central,330,122,11,4,5
centre,131,58,6,1,0
cents,261,125,14,3,3
centuries,420,116,13,1,4
century,748,152,16,2,23
ceo,78,39,1,0,0
cept,153,48,10,0,1
cereal,127,32,3,0,0
ceremony,140,30,5,1,0
certain,1819,730,60,20,33
certainly,303,112,4,3,2
certainty,112,56,4,0,1
certified,161,134,4,0,0
ces,114,29,1,0,0
cest,532,116,59,15,2
ch,489,290,70,36,0
cha,2271,490,26,27,17
chad,98,17,0,0,0
chain,2906,1696,144,7,98
chained,514,189,15,6,4
chains,2346,1298,112,17,26
chainsaw,109,114,2,1,1
chainz,0,131,0,0,0
chair,1445,556,69,7,25
chairs,283,120,10,7,5
chaka,132,8,18,0,0
chalice,106,19,3,0,4
chalk,326,136,8,0,1
challenge,402,177,9,0,2
cham,90,28,0,0,0
chamber,325,106,5,12,7
chambers,146,29,2,2,0
chameleon,91,23,5,1,0
chamillionaire,221,18,0,0,0
chamillitary,145,8,0,0,0
champ,169,80,2,0,0
champagne,714,781,37,3,6
champion,468,352,57,11,2
champions,91,66,3,0,0
chan,92,23,1,0,0
chance,11186,5059,403,88,105
chances,1487,622,51,14,17
chandelier,46,69,5,1,1
chanel,80,126,3,0,0
change,20175,10295,776,200,226
changed,4985,2137,208,26,44
changes,2092,739,81,44,28
changin,468,138,16,10,4
changing,2335,1092,77,27,26
channel,436,158,24,5,0
channels,135,27,0,1,0
chant,276,72,11,3,16
chanting,119,40,4,7,1
chaos,1251,362,26,0,6
chapel,234,69,16,0,1
chapter,470,189,10,0,2
character,215,82,20,0,1
characters,103,36,0,3,0
charade,134,45,7,1,0
charge,807,347,35,10,7
charged,223,93,5,4,0
charges,135,70,4,0,0
charging,81,41,4,0,0
chariot,165,97,10,3,3
charity,270,59,5,8,9
charles,226,103,12,5,1
charlie,580,265,17,14,1
charm,836,402,33,2,10
charmed,110,33,3,0,0
charming,303,144,10,2,2
charms,528,272,39,8,8
chart,165,79,5,0,0
charts,214,88,4,4,0
chase,2041,1461,88,15,10
chased,386,165,8,1,5
chaser,99,81,2,0,1
chases,114,40,6,1,0
chasin,563,282,26,3,2
chasing,1418,1416,63,8,23
chat,402,205,10,1,0
chatter,162,78,8,1,1
chauffeur,69,70,5,1,0
che,429,170,39,3,2
chea,92,35,0,0,0
cheap,1793,668,69,16,23
cheaper,178,96,9,1,0
cheat,728,404,26,2,8
cheated,379,214,32,1,2
cheater,86,35,4,0,0
cheatin,430,103,22,2,4
cheating,436,201,17,6,4
cheats,79,65,3,2,0
check,7037,2685,280,23,31
checked,337,154,11,1,1
checkin,586,129,16,0,0
checking,465,292,21,4,6
checks,428,263,21,4,1
cheddar,306,145,6,0,0
chee,168,2,0,0,0
cheeba,129,8,3,0,3
cheek,935,414,60,7,12
cheeks,392,184,18,5,2
cheeky,125,20,8,0,0
cheer,781,323,44,6,6
cheering,105,32,2,1,0
cheers,254,135,9,1,3
cheese,999,494,22,10,4
cheetah,149,26,0,0,0
chef,108,96,3,2,0
chelsea,97,26,15,1,1
chemical,525,168,14,0,1
chemicals,224,157,14,0,2
chemistry,327,158,7,0,19
cheque,56,51,2,3,14
cherish,479,209,25,3,3
cherished,99,23,5,0,0
cherokee,95,36,2,0,2
cherries,92,29,3,0,0
cherry,693,518,62,2,7
chess,137,78,2,2,1
chest,2636,1403,61,8,12
chestnuts,105,34,12,0,0
chevrolet,199,61,8,1,1
chevy,381,313,11,7,0
chew,615,233,11,2,4
chewed,133,42,1,0,4
chewin,96,57,12,0,0
chewing,204,72,2,0,3
cheyenne,106,17,1,2,0
chi,618,176,11,4,1
chic,126,70,5,0,0
chica,103,53,2,0,0
chicago,642,255,25,17,18
chick,2121,1226,49,11,6
chicken,1309,498,38,12,10
chickens,319,105,25,0,2
chicks,1171,603,31,2,9
chico,105,30,3,0,0
chief,360,209,16,0,4
child,8161,2890,442,124,102
childhood,550,198,27,4,3
childish,186,108,7,0,2
children,6535,1960,430,137,99
childrens,341,90,11,1,1
childs,298,95,6,5,5
chill,2165,1000,75,6,19
chilled,174,58,11,1,2
chillin,888,515,29,0,3
chilling,327,337,15,1,1
chills,378,263,29,6,3
chilly,196,61,11,2,14
chime,214,94,9,2,5
chimes,162,52,14,2,2
chimney,344,198,21,7,2
chin,626,267,19,5,4
china,526,197,31,4,5
chinatown,96,17,5,4,1
chinese,358,105,16,1,7
ching,181,120,0,0,0
chino,114,49,0,0,0
chip,415,233,12,2,0
chips,791,308,17,3,5
chit,75,62,5,2,0
chitty,153,6,1,0,0
cho,227,48,9,3,0
chocolate,701,368,13,3,2
choice,2685,1093,73,12,17
choices,584,338,12,4,0
choir,645,314,47,28,5
choirs,127,95,11,0,0
choke,1197,482,28,0,1
choked,260,137,12,0,1
chokes,92,23,2,0,0
chokin,236,38,5,0,1
choking,563,184,14,1,1
chong,58,26,34,0,0
choo,366,108,44,4,0
choose,3777,1786,109,44,28
choosin,81,60,1,0,0
choosing,263,130,1,3,2
chop,833,373,11,4,3
choppa,88,179,0,0,0
chopped,213,86,3,0,1
chopper,260,342,0,0,0
choppers,122,196,4,0,0
choppin,183,73,4,3,0
chopping,101,82,0,1,0
chops,98,27,6,1,0
chord,177,89,7,0,1
chords,289,128,10,2,0
chores,99,56,2,0,0
chose,1168,687,38,6,7
chosen,1130,427,43,9,17
chours,116,38,2,0,0
chow,135,52,2,2,0
chris,455,302,7,0,1
christ,2837,903,136,8,28
christian,585,205,9,0,3
christians,189,52,7,1,3
christina,116,43,1,0,0
christine,124,113,42,0,0
christmas,8364,3143,539,38,15
christmases,118,48,10,0,0
christmastime,147,72,3,0,0
christopher,139,48,3,0,0
chrome,1208,288,31,3,4
chronic,410,154,11,2,1
chrous,86,54,2,0,0
chu,244,116,2,2,0
chuck,440,197,14,5,10
chucks,68,47,1,0,0
chug,109,33,5,1,0
chump,202,54,6,1,1
chumps,133,35,4,0,0
chunk,93,26,2,0,0
chunks,92,25,1,0,0
church,2110,993,77,36,10
churches,193,38,12,1,2
churning,114,22,1,1,1
ci,96,66,7,0,0
ciara,105,19,0,0,0
cigar,163,70,4,0,4
cigarette,1017,495,30,12,12
cigarettes,670,256,26,7,2
cigars,137,55,4,0,1
cincinnati,142,14,0,2,4
cinderella,227,188,4,2,2
cindy,192,29,6,0,0
cinema,85,113,1,2,1
cinnamon,97,81,7,0,0
circle,1824,705,56,10,11
circled,86,33,5,0,1
circles,1316,611,45,5,10
circling,184,98,0,1,4
circuit,110,35,5,0,6
circumstance,279,97,16,2,2
circumstances,188,61,18,3,0
circus,644,209,27,8,7
ciroc,8,122,0,0,0
cities,692,217,23,5,10
citizen,153,49,3,0,1
citizens,146,31,9,0,1
city,10301,5929,449,164,108
citys,349,162,12,4,2
civil,182,74,11,1,0
civilization,143,39,4,0,1
civilized,145,29,3,2,1
ck,96,572,1,0,0
ckin,34,104,2,0,0
cking,28,176,0,0,0
clack,236,187,4,0,1
clad,93,28,5,0,0
claim,1610,722,64,31,16
claimed,270,98,11,4,1
claimin,215,44,6,0,0
claiming,205,109,11,0,2
claims,218,75,7,5,8
claire,89,38,0,0,0
clan,227,63,6,1,0
clap,1699,1400,28,6,5
clapped,95,30,1,0,1
clappin,154,53,3,1,1
clapping,113,68,2,0,1
clarity,223,144,7,0,0
clark,119,44,2,1,0
clash,245,60,5,14,19
class,2079,996,90,10,28
classes,132,76,11,2,1
classic,436,235,6,1,12
classroom,91,40,2,0,1
classy,132,122,3,1,2
claus,1087,461,106,0,1
clause,142,35,4,0,0
claw,201,76,11,0,3
claws,375,108,13,6,3
clay,490,198,24,5,11
clean,4018,1702,155,19,25
cleaned,188,66,5,0,2
cleaner,130,69,4,0,0
cleaning,172,113,2,2,4
cleanse,249,82,8,0,2
cleansed,105,31,6,0,0
cleansing,148,49,4,0,0
clear,6543,2842,253,56,58
cleared,207,71,7,1,2
clearer,403,237,5,2,11
clearing,125,57,4,0,0
clearly,859,398,17,3,6
clears,182,85,3,3,0
cledus,114,4,0,0,0
clench,110,27,1,0,1
clenched,132,22,1,2,0
cleveland,273,55,5,5,0
clever,765,283,37,3,7
cliche,187,96,1,0,1
click,1752,664,33,7,4
clicks,106,24,4,1,4
cliff,225,139,9,2,0
cliffs,116,28,2,0,0
climate,62,53,4,0,0
climax,84,27,6,0,0
climb,2353,1070,120,21,31
climbed,440,199,18,2,3
climbin,199,71,3,0,2
climbing,689,420,33,6,6
climbs,134,33,3,1,0
cling,627,242,27,15,4
clinging,279,89,6,2,5
clings,101,39,7,2,0
clinton,92,46,3,0,0
clip,986,531,19,0,3
clipped,78,37,2,0,0
clips,476,206,9,1,2
clique,494,389,24,0,0
clit,190,48,6,0,0
cloak,167,52,9,2,1
clock,2401,1119,81,18,12
clockin,121,42,13,0,1
clocks,274,157,15,0,0
clockwork,125,66,2,1,7
clone,195,57,0,1,0
clones,150,48,1,0,2
close,15603,7242,660,116,138
closed,2316,1014,115,23,32
closely,322,113,19,0,1
closer,4544,2480,170,41,79
closes,256,86,12,0,3
closest,352,151,12,0,1
closet,611,359,9,2,2
closin,168,41,4,0,2
closing,1179,526,34,6,20
closure,119,80,1,0,0
cloth,160,112,7,2,1
clothes,4218,1877,187,39,62
clothing,150,61,6,0,3
cloud,1838,869,98,42,24
clouded,168,68,8,2,3
clouds,4214,2044,169,59,37
cloudy,522,221,42,9,9
clout,182,44,5,0,6
