,2000s,2010s,1990s,1970s,1980s
arrogant,149,61,1,1,0
arrow,425,195,19,4,8
arrows,248,179,15,4,2
arse,140,35,9,0,10
art,2040,856,58,12,11
arthur,223,48,10,0,0
artie,12,110,0,0,0
artifacts,107,12,2,0,0
artificial,226,70,3,1,2
artist,477,242,18,3,1
artists,179,86,5,1,2
arts,127,29,1,0,3
asap,52,136,0,0,0
ascap,187,17,4,0,2
ascend,104,63,6,0,1
ash,426,244,4,2,3
ashamed,1196,498,32,14,21
ashanti,101,15,1,0,0
ashes,1766,761,55,10,17
ashore,91,62,5,3,0
ashtray,105,32,6,0,0
asia,88,23,3,0,0
asian,175,114,1,1,0
aside,1455,592,46,5,13
ask,11492,4965,488,98,93
asked,3301,1324,163,49,38
askin,815,323,24,5,6
asking,2460,1299,85,7,18
asks,433,169,27,9,3
asleep,2417,1231,61,20,13
asphalt,114,46,7,0,2
ass,13212,6432,455,14,27
assassin,214,63,7,0,2
assassins,121,32,5,0,0
assault,163,61,1,0,1
assed,106,24,6,0,0
assembly,76,27,4,13,0
asses,274,113,11,0,0
asshole,518,170,11,1,5
assholes,123,32,1,0,2
assistance,121,53,2,0,1
assume,281,123,4,0,6
assuming,91,48,2,0,0
assure,131,33,6,0,0
assured,208,90,6,8,6
astral,218,24,2,1,0
astray,762,287,31,3,5
astronaut,103,82,2,0,0
asunder,125,38,4,0,0
asylum,126,46,19,1,1
ate,732,283,26,4,6
atl,133,53,1,0,0
atlanta,406,215,9,4,0
atlantic,179,71,7,0,1
atlantis,91,56,0,0,4
atmosphere,514,275,20,2,5
atom,133,80,7,0,1
atomic,239,62,11,4,4
atop,102,46,4,1,0
attached,284,174,11,2,4
attack,2197,679,70,5,23
attacked,134,45,2,1,4
attacking,75,38,1,0,1
attacks,191,70,9,1,0
attempt,362,87,7,0,0
attempts,128,38,10,1,0
attend,100,49,5,4,0
attention,2045,1043,60,6,21
attic,221,102,5,1,3
attitude,1092,477,64,3,5
attitudes,114,25,4,0,2
attract,185,58,3,1,1
attracted,177,73,3,0,1
attraction,439,142,22,4,6
attractive,107,73,6,0,0
au,292,139,24,1,1
audience,334,126,10,2,1
audio,130,91,22,0,0
august,218,121,13,1,0
auld,180,100,1,0,1
aunt,209,78,7,0,4
aura,168,75,3,0,0
aurora,80,34,6,0,0
austin,131,37,2,0,1
australia,87,37,0,0,0
author,120,56,1,0,0
authority,338,96,3,0,3
auto,194,122,5,0,2
autograph,173,68,3,7,2
automatic,771,334,16,4,0
automobile,92,30,4,0,9
autumn,968,386,36,12,2
available,143,46,5,3,2
avalanche,105,109,2,0,0
avalon,89,36,3,0,0
ave,509,128,17,2,1
avec,144,23,21,0,4
avenue,811,281,51,17,11
average,585,256,23,1,1
avoid,648,222,13,2,9
avoiding,134,94,9,0,1
aw,813,482,29,7,8
await,337,76,9,2,3
awaited,104,12,0,0,1
awaiting,366,107,9,6,2
awaits,446,188,16,2,8
awake,3442,1734,108,16,20
awaken,416,130,12,6,1
awakened,192,52,3,0,0
awakening,219,76,7,1,1
awakes,118,51,6,1,0
award,116,58,7,1,1
awards,115,47,1,0,2
aware,797,369,32,8,8
awareness,100,30,4,0,0
away,73542,31621,2990,622,671
awe,231,150,5,4,1
awesome,322,351,4,0,0
awful,852,339,34,25,8
awfully,132,62,4,4,0
awhile,1057,338,73,9,9
awkward,255,149,1,0,1
awoke,260,78,9,1,0
aww,302,188,11,9,0
axe,416,108,18,3,5
ay,2734,2496,42,22,4
aye,1201,1584,8,2,1
ayo,277,374,10,0,1
ayy,90,316,0,0,0
az,293,35,5,0,0
azz,64,61,2,0,0
ba,4351,1482,163,121,87
baa,170,62,0,0,0
baba,155,95,8,1,0
babe,6009,3546,447,184,86
babes,94,46,5,0,1
babies,1196,451,68,9,24
baby,88630,47867,5565,1436,1400
babyface,186,9,0,0,0
babygirl,84,48,0,0,0
babylon,665,304,48,27,26
babys,1575,478,113,23,31
bacardi,149,48,3,0,0
bachelor,106,31,3,0,1
back,85842,44443,3264,809,762
backbone,170,105,7,0,0
backdoor,108,62,1,2,3
backed,268,120,13,2,2
background,516,237,21,13,3
backing,177,111,1,2,1
backpack,99,69,2,0,0
backs,910,335,24,5,13
backseat,321,238,22,1,1
backstage,220,75,16,0,0
backstreet,102,16,6,0,2
backup,123,37,1,0,1
backward,139,46,2,0,0
backwards,828,404,17,7,14
backwoods,62,90,1,1,3
backyard,430,160,22,2,1
bacon,257,93,7,2,0
bad,19177,11474,824,243,190
bada,45,133,1,0,0
badder,71,106,1,1,0
baddest,333,414,12,3,0
badge,193,66,8,1,2
badly,361,143,16,10,6
badman,83,69,2,0,0
bae,6,147,0,0,0
bag,2401,1829,121,30,15
baggage,140,111,7,2,2
baggin,92,31,1,0,0
baggy,114,33,7,0,0
bags,1190,776,43,7,12
bah,344,166,24,3,0
bail,619,233,33,4,1
bailey,56,67,0,6,0
bait,377,172,11,3,5
bake,309,149,8,4,0
baked,158,52,2,0,1
baker,110,135,8,0,20
baking,95,98,3,0,0
balance,630,266,17,3,8
balcony,175,96,9,3,0
bald,245,101,10,1,4
bale,107,14,0,0,0
ball,3627,2223,127,39,34
balla,122,8,0,0,0
ballad,104,26,2,3,2
baller,285,152,8,0,0
ballerina,70,92,2,1,2
ballers,191,60,6,0,0
ballet,105,65,2,0,1
ballin,648,818,29,0,1
balling,154,435,2,2,0
balloon,265,132,13,6,0
balloons,179,65,3,0,0
ballroom,135,32,8,13,3
balls,1256,462,38,9,6
baltimore,128,63,29,7,0
bam,409,463,105,3,1
ban,139,51,5,1,2
banana,268,202,5,1,1
