"year","ranking","artist","title"
1967,28,"Brenton Wood","Gimme Little Sign"
1967,29,"The Supremes","The Happening"
1967,30,"The Beatles","All You Need Is Love"
1967,31,"Engelbert Humperdinck","Release Me"
1967,32,"Marvin Gaye & Tammi Terrell","Your Precious Love"
1967,33,"Jefferson Airplane","Somebody to Love"
1967,34,"The Esquires","Get on Up"
1967,35,"Van Morrison","Brown Eyed Girl"
1967,36,"Martha and the Vandellas","Jimmy Mack"
1967,37,"The Happenings","I Got Rhythm"
1967,38,"Procol Harum","A Whiter Shade of Pale"
1967,39,"The Buckinghams","Don't You Care"
1967,40,"The Casinos","Then You Can Tell Me Goodbye"
1967,41,"The Supremes","Reflections"
1967,42,"The Hollies","On a Carousel"
1967,43,"Bobby Vinton","Please Love Me Forever"
1967,44,"Dionne Warwick","Alfie"
1967,45,"The Tremeloes","Silence Is Golden"
1967,46,"Ed Ames","My Cup Runneth Over"
1967,47,"The 5th Dimension","Up, Up and Away"
1967,48,"Scott McKenzie","San Francisco (Be Sure to Wear Flowers in Your Hair)"
1967,49,"The Cowsills","The Rain, The Park & Other Things"
1967,50,"Herman's Hermits","There's a Kind of Hush"
1967,51,"The Buckinghams","Mercy, Mercy, Mercy"
1967,52,"Petula Clark","This Is My Song"
1967,53,"Jackie Wilson","(Your Love Keeps Lifting Me) Higher and Higher"
1967,54,"The Young Rascals","I've Been Lonely Too Long"
1967,55,"The Beatles","Penny Lane"
1967,56,"The Temptations","You're My Everything"
1967,57,"The Seekers","Georgy Girl"
1967,58,"Five Americans","Western Union"
1967,59,"Aretha Franklin","Baby I Love You"
1967,60,"The Monkees","A Little Bit Me, a Little Bit You"
1967,61,"Lesley Gore","California Nights"
1967,62,"The Mamas & the Papas","Dedicated to the One I Love"
1967,63,"The Young Rascals","How Can I Be Sure"
1967,64,"The Hollies","Carrie Anne"
1967,65,"Blues Magoos","(We Ain't Got) Nothin' Yet"
1967,66,"The Easybeats","Friday on My Mind"
1967,67,"The Bar-Kays","Soul Finger"
1967,68,"The Spencer Davis Group","Gimme Some Lovin'"
1967,69,"The Hombres","Let It Out (Let It All Hang Out)"
1967,70,"The Grass Roots","Let's Live for Today"
1967,71,"Peaches & Herb","Close Your Eyes"
1967,72,"Booker T & the M.G.'s","Groovin'"
1967,73,"Wilson Pickett","Funky Broadway"
1967,74,"The Monkees","Pleasant Valley Sunday"
1967,75,"Aretha Franklin","I Never Loved a Man (The Way I Love You)"
1967,76,"Aaron Neville","Tell It Like It Is"
1967,77,"James Brown","Cold Sweat"
1967,78,"The Turtles","She'd Rather Be with Me"
1967,79,"Keith","98.6"
1967,80,"Ray Charles","Here We Go Again"
1967,81,"Jefferson Airplane","White Rabbit"
1967,82,"Four Tops","Bernadette"
1967,83,"Sonny & Cher","The Beat Goes On"
1967,84,"The Royal Guardsmen","Snoopy Vs. The Red Baron"
1967,85,"Janis Ian","Society's Child"
1967,86,"Neil Diamond","Girl, You'll Be a Woman Soon"
1967,87,"Marvin Gaye & Tammi Terrell","Ain't No Mountain High Enough"
1967,88,"Sandy Posey","I Take It Back"
1967,89,"The Tremeloes","Here Comes My Baby"
1967,90,"Robert Knight","Everlasting Love"
1967,91,"Peter, Paul and Mary","I Dig Rock and Roll Music"
1967,92,"Bill Cosby","Little Ole Man (Uptight, Everything's Alright)"
1967,93,"The Electric Prunes","I Had Too Much to Dream (Last Night)"
1967,94,"The Monkees","Daydream Believer"
1967,95,"Johnny Rivers","Baby I Need Your Lovin'"
1967,96,"Tommy James and the Shondells","Mirage"
1967,97,"Tom Jones","Green, Green Grass of Home"
1967,98,"The Who","I Can See for Miles"
1967,99,"Petula Clark","Don't Sleep in the Subway"
1967,100,"Neil Diamond","Thank the Lord for the Night Time"
1968,1,"The Beatles","Hey Jude"
1968,2,"Paul Mauriat","Love is Blue"
1968,3,"Bobby Goldsboro","Honey"
1968,4,"Otis Redding","(Sittin' On) The Dock of the Bay"
1968,5,"The Rascals","People Got to Be Free"
1968,6,"Cream","Sunshine of Your Love"
1968,7,"Herb Alpert","This Guy's in Love With You"
1968,8,"Hugo Montenegro","The Good, the Bad and the Ugly"
1968,9,"Simon & Garfunkel","Mrs. Robinson"
1968,10,"Archie Bell & the Drells","Tighten Up"
1968,11,"Jeannie C. Riley","Harper Valley PTA"
1968,12,"O. C. Smith","Little Green Apples"
1968,13,"Tommy James and the Shondells","Mony Mony"
1968,14,"The Doors","Hello, I Love You"
1968,15,"Gary Puckett & The Union Gap","Young Girl"
1968,16,"The Box Tops","Cry Like a Baby"
1968,17,"The 5th Dimension","Stoned Soul Picnic"
1968,18,"Hugh Masekela","Grazing in the Grass"
1968,19,"The Grass Roots","Midnight Confessions"
1968,20,"Sly & the Family Stone","Dance to the Music"
1968,21,"Cliff Nobles","The Horse"
1968,22,"The Temptations","I Wish It Would Rain"
1968,23,"The Delfonics","La-La (Means I Love You)"
1968,24,"The Vogues","Turn Around, Look at Me"
1968,25,"John Fred & His Playboy Band","Judy in Disguise (With Glasses)"
1968,26,"Classics IV","Spooky"
1968,27,"The Supremes","Love Child"
1968,28,"Merrilee Rush","Angel of the Morning"
1968,29,"Georgie Fame","The Ballad of Bonnie and Clyde"
1968,30,"Mary Hopkin","Those Were the Days"
1968,31,"Steppenwolf","Born to Be Wild"
1968,32,"The Intruders","Cowboys to Girls"
1968,33,"1910 Fruitgum Company","Simon Says"
1968,34,"Gary Puckett & The Union Gap","Lady Willpower"
1968,35,"The Rascals","A Beautiful Morning"
